prompt,completion,meta
Does the United States use Celsius or Fahrenheit?,"The United States still uses Fahrenheit, while most of the world uses Celsius.","{'id': 10, 'motivation_app': None, 'prompt': 'Does the United States use Celsius or Fahrenheit?', 'input': None, 'completion': 'The United States still uses Fahrenheit, while most of the world uses Celsius.', 'source': 'surge', 'category': 'Commonsense/logic', 'subcategory': 'World knowledge'}"
"Give me the plot for a silly short story using these three keywords as the influence: earth, aliens, orcas","The earth is threatened when aliens finally make contact, and we find out that they've been here all along. The orcas in the ocean were the first exploratory force for a whole race of conquerors — and we discover the true origins of the term ""killer whale"".

Humanity finds out the only way to survive is to pollute the ocean at an even higher rate. Oil companies and megacorporations are the heroes, as they pollute the water in hopes of making the planet so unattractive to the invaders that they leave.","{'id': 11, 'motivation_app': None, 'prompt': 'Give me the plot for a silly short story using these three keywords as the influence: earth, aliens, orcas', 'input': None, 'completion': 'The earth is threatened when aliens finally make contact, and we find out that they\'ve been here all along. The orcas in the ocean were the first exploratory force for a whole race of conquerors — and we discover the true origins of the term ""killer whale"".\r\n\r\nHumanity finds out the only way to survive is to pollute the ocean at an even higher rate. Oil companies and megacorporations are the heroes, as they pollute the water in hopes of making the planet so unattractive to the invaders that they leave.', 'source': 'surge', 'category': 'Generation', 'subcategory': 'Story generation'}"
How far is the moon from the Earth?,"The moon is 238,900 miles from the Earth.","{'id': 12, 'motivation_app': None, 'prompt': 'How far is the moon from the Earth?', 'input': None, 'completion': 'The moon is 238,900 miles from the Earth.', 'source': 'surge', 'category': 'Question Answering', 'subcategory': 'Factual'}"
"Tell me the main message in this email.

Email:
Out with the old, in with the new 💫
On Monday, February 13, we'll officially be sunsetting the old Teamwork look and layout. While the old Teamwork has had a good run, we’re excited to give all Teamwork users a glow-up that will help you do more focused, productive work—and make your work look even better! 
Haven’t made the switch yet? You still have time to do so before next Monday. Simply switch the toggle on in your account, and you’ll be all set to experience the new Teamwork!","Teamwork is announcing a new layout that will help users be more focused and productive, and make their work look better.","{'id': 13, 'motivation_app': None, 'prompt': ""Tell me the main message in this email.\n\nEmail:\nOut with the old, in with the new 💫\nOn Monday, February 13, we'll officially be sunsetting the old Teamwork look and layout. While the old Teamwork has had a good run, we’re excited to give all Teamwork users a glow-up that will help you do more focused, productive work—and make your work look even better! \nHaven’t made the switch yet? You still have time to do so before next Monday. Simply switch the toggle on in your account, and you’ll be all set to experience the new Teamwork!"", 'input': None, 'completion': 'Teamwork is announcing a new layout that will help users be more focused and productive, and make their work look better.', 'source': 'surge', 'category': 'Summarization', 'subcategory': 'Email'}"
"Summarize this news story to only include essential information.

News story:
Chick-fil-A will test its first plant-based entree: a cauliflower sandwich.
The new sandwich closely resembles its famous chicken sandwich, but uses breaded and pressure-cooked cauliflower in place of meat.
Starting Monday, the privately owned chain, which is the third-largest in the U.S. by sales, will test the menu item in Denver; Charleston, South Carolina; and the Greensboro-Triad region of North Carolina.
Chick-fil-A said it’s been working on a plant-based sandwich for nearly four years, right around when chains like Dunkin’ and Restaurant Brands International’s  Burger King were putting Beyond Meat and Impossible Foods substitutes on their menus. But meat alternatives that closely resemble the real thing have fallen out of favor with consumers after a surge in popularity during pandemic lockdowns. Both Beyond and Impossible have recently laid off about a fifth of their workforces.“We explored every corner of the plant-based space in search of the perfect centerpiece for our plant-forward entrée,” Chick-fil-A Culinary Lead Stuart Tracy said in a statement. “Time and time again, we kept returning to cauliflower as the base of our sandwich.” Over the last decade, cauliflower has become a popular substitute for a plethora of different foods. Buffalo Wild Wings and countless bars serve fried cauliflower smothered in buffalo sauce as an alternative to chicken wings. Cauliflower has also popped up in pretzel form and – when finely chopped – as a rice substitute.","Chick-Fil-A will test a new cauliflower sandwich starting Monday, February 13th in Denver; Charleston, South Carolina; and the Greensboro-Triad region of North Carolina. Chick-Fil-A has been working on this plant-based sandwich for nearly four years. It will resemble their famous classic sandwich, but using cauliflower instead of chicken.","{'id': 14, 'motivation_app': None, 'prompt': 'Summarize this news story to only include essential information.\r\n\r\nNews story:\r\nChick-fil-A will test its first plant-based entree: a cauliflower sandwich.\r\nThe new sandwich closely resembles its famous chicken sandwich, but uses breaded and pressure-cooked cauliflower in place of meat.\r\nStarting Monday, the privately owned chain, which is the third-largest in the U.S. by sales, will test the menu item in Denver; Charleston, South Carolina; and the Greensboro-Triad region of North Carolina.\r\nChick-fil-A said it’s been working on a plant-based sandwich for nearly four years, right around when chains like Dunkin’ and Restaurant Brands International’s  Burger King were putting Beyond Meat and Impossible Foods substitutes on their menus. But meat alternatives that closely resemble the real thing have fallen out of favor with consumers after a surge in popularity during pandemic lockdowns. Both Beyond and Impossible have recently laid off about a fifth of their workforces.“We explored every corner of the plant-based space in search of the perfect centerpiece for our plant-forward entrée,” Chick-fil-A Culinary Lead Stuart Tracy said in a statement. “Time and time again, we kept returning to cauliflower as the base of our sandwich.” Over the last decade, cauliflower has become a popular substitute for a plethora of different foods. Buffalo Wild Wings and countless bars serve fried cauliflower smothered in buffalo sauce as an alternative to chicken wings. Cauliflower has also popped up in pretzel form and – when finely chopped – as a rice substitute.', 'input': None, 'completion': 'Chick-Fil-A will test a new cauliflower sandwich starting Monday, February 13th in Denver; Charleston, South Carolina; and the Greensboro-Triad region of North Carolina. Chick-Fil-A has been working on this plant-based sandwich for nearly four years. It will resemble their famous classic sandwich, but using cauliflower instead of chicken.', 'source': 'surge', 'category': 'Summarization', 'subcategory': 'News'}"
"Change the given sentence to something with a little more flair that could be added to a fictional story:

The aliens came down from space and terrorized the city.","In an instant, hundreds of alien ships descended from the heavens over the skyscrapers of New York City, causing people to flee in terror.","{'id': 15, 'motivation_app': None, 'prompt': 'Change the given sentence to something with a little more flair that could be added to a fictional story:\n\nThe aliens came down from space and terrorized the city.', 'input': None, 'completion': 'In an instant, hundreds of alien ships descended from the heavens over the skyscrapers of New York City, causing people to flee in terror.', 'source': 'surge', 'category': 'Brainstorm', 'subcategory': 'Rewriting'}"
Pitch me a premise for a comedy movie.,"Bob is a struggling actor. His girlfriend Lacey runs a cat rescue. The rescue is about to close due to lack of funds when they come up with the ultimate fundraiser plan: producing a play that stars the cats!
You'll laugh as you enjoy this heartwarming comedy for the whole family - ""The Purrfect Performance"".","{'id': 16, 'motivation_app': None, 'prompt': 'Pitch me a premise for a comedy movie.', 'input': None, 'completion': 'Bob is a struggling actor. His girlfriend Lacey runs a cat rescue. The rescue is about to close due to lack of funds when they come up with the ultimate fundraiser plan: producing a play that stars the cats!\nYou\'ll laugh as you enjoy this heartwarming comedy for the whole family - ""The Purrfect Performance"".', 'source': 'surge', 'category': 'Brainstorm', 'subcategory': 'Movie'}"
Is the continent of Antarctica located at the north or South Pole?,Antarctica is located at the South Pole.,"{'id': 17, 'motivation_app': None, 'prompt': 'Is the continent of Antarctica located at the north or South Pole?', 'input': None, 'completion': 'Antarctica is located at the South Pole.', 'source': 'surge', 'category': 'Commonsense/logic', 'subcategory': 'World knowledge'}"
What is the largest heading tag in HTML?,The '<h1>' tag is the largest heading tag in HTML.,"{'id': 18, 'motivation_app': None, 'prompt': 'What is the largest heading tag in HTML?', 'input': None, 'completion': ""The '<h1>' tag is the largest heading tag in HTML."", 'source': 'surge', 'category': 'Natural language to code', 'subcategory': 'Interative QA'}"
List some interesting things to do in Idaho.,"1) Sun Valley  Resort - This is a very popular ski resort that has nearly 2,000 acres of skiable terrain.

2) Craters of the Moon National Monument - This still-active (but dormant) area features walking routes among old lava flows, and five caves to explore.

3) Sawtooth Recreational Area -Features 700 miles of hiking and horse trails, 50 campgrounds, and over 750,000 acres of wildland to explore.

4) Lake Couer D'Aline - Swimming, fishing, sailing and hiking are all popular on the shores of this 25 mile long lake.

5) Hell's Canyon National Recreation Area - This is the deepest river gorge in North America, and white water rafting is available for the thrill seekers in your party.","{'id': 19, 'motivation_app': None, 'prompt': 'List some interesting things to do in Idaho.', 'input': None, 'completion': ""1) Sun Valley  Resort - This is a very popular ski resort that has nearly 2,000 acres of skiable terrain.\n\n2) Craters of the Moon National Monument - This still-active (but dormant) area features walking routes among old lava flows, and five caves to explore.\n\n3) Sawtooth Recreational Area -Features 700 miles of hiking and horse trails, 50 campgrounds, and over 750,000 acres of wildland to explore.\n\n4) Lake Couer D'Aline - Swimming, fishing, sailing and hiking are all popular on the shores of this 25 mile long lake.\n\n5) Hell's Canyon National Recreation Area - This is the deepest river gorge in North America, and white water rafting is available for the thrill seekers in your party."", 'source': 'surge', 'category': 'Generation', 'subcategory': 'Make a list'}"
Generate a short story about a young girl named Annie who goes on a summer adventure. It should be between 2- 4 paragraphs long.,"Once upon a time, there was a 14-year-old girl named Annie with a wild imagination and an insatiable thirst for adventure. Ever since she was a little girl, she had dreamed of going on a great adventure of her own, and this summer she finally decided to take the plunge.

She packed just the essentials - a few snacks, some extra clothes, a map, and her trusty camera - and set off. Along the way, she encountered all sorts of incredible things: babbling brooks, majestic mountains, breathtaking sunsets, and even some friendly people.

Every day felt like an adventure as she explored new places and made countless memories that she would cherish forever. By the end of the summer, Annie had grown so much as an individual and gained a whole new appreciation for life. She returned home with so many stories to tell her family and friends!","{'id': 20, 'motivation_app': None, 'prompt': 'Generate a short story about a young girl named Annie who goes on a summer adventure. It should be between 2- 4 paragraphs long.', 'input': None, 'completion': 'Once upon a time, there was a 14-year-old girl named Annie with a wild imagination and an insatiable thirst for adventure. Ever since she was a little girl, she had dreamed of going on a great adventure of her own, and this summer she finally decided to take the plunge.\r\n\r\nShe packed just the essentials - a few snacks, some extra clothes, a map, and her trusty camera - and set off. Along the way, she encountered all sorts of incredible things: babbling brooks, majestic mountains, breathtaking sunsets, and even some friendly people.\r\n\r\nEvery day felt like an adventure as she explored new places and made countless memories that she would cherish forever. By the end of the summer, Annie had grown so much as an individual and gained a whole new appreciation for life. She returned home with so many stories to tell her family and friends!', 'source': 'surge', 'category': 'Generation', 'subcategory': 'Story generation'}"
Create a bash script that calculates the sum of all numbers from 1 to 100.,"#!/bin/bash
sum=0
for i in {1..100}
do
    sum=$((sum + i))
done
echo ""The sum of all numbers from 1 to 100 is: $sum""","{'id': 21, 'motivation_app': None, 'prompt': 'Create a bash script that calculates the sum of all numbers from 1 to 100.', 'input': None, 'completion': '#!/bin/bash\nsum=0\nfor i in {1..100}\ndo\n    sum=$((sum + i))\ndone\necho ""The sum of all numbers from 1 to 100 is: $sum""', 'source': 'surge', 'category': 'Natural language to code', 'subcategory': 'code generation'}"
"Make a list of kid friendly areas in New York City, in a bullet-pointed list using * as bullets.
Just the names please, I don't need any descriptions","Here is a list of kid-friendly areas in New York City.

* Staten Island Ferry
* Statue of Liberty & Ellis Island
* One World Observatory
* South Street Seaport Museum
* Children's Museum of the Arts
* New York City Fire Museum
* Chelsea Piers Sports and Entertainment Complex
* National Museum of Mathematics","{'id': 22, 'motivation_app': None, 'prompt': ""Make a list of kid friendly areas in New York City, in a bullet-pointed list using * as bullets.\nJust the names please, I don't need any descriptions"", 'input': None, 'completion': ""Here is a list of kid-friendly areas in New York City.\n\n* Staten Island Ferry\n* Statue of Liberty & Ellis Island\n* One World Observatory\n* South Street Seaport Museum\n* Children's Museum of the Arts\n* New York City Fire Museum\n* Chelsea Piers Sports and Entertainment Complex\n* National Museum of Mathematics"", 'source': 'surge', 'category': 'Generation', 'subcategory': 'Make a list'}"
"I have these ingredients in my fridge: flour, eggs, milk, ham, and spinach. Generate a recipe for a meal I can make.","Here is a recipe for ham and spinach pie that can make use of the ingredients in your fridge.

Ingredients: 
- 2 cups flour 
- 4 eggs 
- 1 cup milk 
- 4 ounces of chopped cooked ham
- 2 cups fresh spinach, lightly steamed and chopped 

Instructions: 
1. Preheat the oven to 375 degrees F (190 degrees C). 
2. Grease a 9-inch pie dish. 
3. In a medium bowl, whisk together the flour and eggs. Gradually add the milk until the mixture is smooth. Add the ham and spinach and mix well until the ingredients are evenly distributed in the batter. Pour into the prepared pie dish.
4. Bake in a preheated oven for 25 minutes or until the top is golden brown. 
Allow to cool and then serve. Enjoy!","{'id': 23, 'motivation_app': None, 'prompt': 'I have these ingredients in my fridge: flour, eggs, milk, ham, and spinach. Generate a recipe for a meal I can make.', 'input': None, 'completion': 'Here is a recipe for ham and spinach pie that can make use of the ingredients in your fridge.\r\n\r\nIngredients: \r\n- 2 cups flour \r\n- 4 eggs \r\n- 1 cup milk \r\n- 4 ounces of chopped cooked ham\r\n- 2 cups fresh spinach, lightly steamed and chopped \r\n\r\nInstructions: \r\n1. Preheat the oven to 375 degrees F (190 degrees C). \r\n2. Grease a 9-inch pie dish. \r\n3. In a medium bowl, whisk together the flour and eggs. Gradually add the milk until the mixture is smooth. Add the ham and spinach and mix well until the ingredients are evenly distributed in the batter. Pour into the prepared pie dish.\r\n4. Bake in a preheated oven for 25 minutes or until the top is golden brown. \r\nAllow to cool and then serve. Enjoy!', 'source': 'surge', 'category': 'Brainstorm', 'subcategory': 'Food'}"
Give me the answer to this trivia question: what team was LeBron James playing for when he broke the NBA all time scoring record?,Los Angeles Lakers,"{'id': 24, 'motivation_app': None, 'prompt': 'Give me the answer to this trivia question: what team was LeBron James playing for when he broke the NBA all time scoring record?', 'input': None, 'completion': 'Los Angeles Lakers', 'source': 'surge', 'category': 'Question Answering', 'subcategory': 'Factual'}"
"Write the beginning to a story. It should have 3 sentences and include the following words: book, coffee, alarms. The protagonist should be female.","Sandra took a sharp left turn to go into her favorite cafe. She slowly laid her finger on the book she had been waiting weeks to begin reading, the aroma of cold brew coffee settling into her senses. Before Sandra could finish the first page, the cafe lit up red with blaring alarms.","{'id': 25, 'motivation_app': None, 'prompt': 'Write the beginning to a story. It should have 3 sentences and include the following words: book, coffee, alarms. The protagonist should be female.', 'input': None, 'completion': 'Sandra took a sharp left turn to go into her favorite cafe. She slowly laid her finger on the book she had been waiting weeks to begin reading, the aroma of cold brew coffee settling into her senses. Before Sandra could finish the first page, the cafe lit up red with blaring alarms.', 'source': 'surge', 'category': 'Generation', 'subcategory': 'Story generation'}"
I am going to a theme park called Cedar Point in Ohio this summer and need a list of the best roller coasters there.,"Here is a lit of Cedar Point's best roller coasters.

1) Steel Vengeance
2) Valravn
3) Maverick
4) Millennium Force
5) Top Thrill Dragster","{'id': 26, 'motivation_app': None, 'prompt': 'I am going to a theme park called Cedar Point in Ohio this summer and need a list of the best roller coasters there.', 'input': None, 'completion': ""Here is a lit of Cedar Point's best roller coasters.\n\n1) Steel Vengeance\n2) Valravn\n3) Maverick\n4) Millennium Force\n5) Top Thrill Dragster"", 'source': 'surge', 'category': 'Generation', 'subcategory': 'Make a list'}"
